centroid	domain	kingdom	phylum	class	order	genus	species
388e0933eaa26f5563c5a09d7445f282	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5) clade	Ambiguous_taxa
0ab0fd623f5163711e315921874d589b	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria			
0118f207e8963451dd1faed130660e39	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
ad428bd46edcba787ddbc6e88e4d45b4	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade			
0bd38c4a719b8c72ac5cf77463720c3a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	
a4c89500f5c8128ee15b1984b867f041	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j			
176e871cfeba3486860f715a1a515ebb	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	uncultured bacterium	uncultured bacterium
e697ed780f9c16a49a24902e1f695c7f	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	
c361a5bf9740412c1630ed12a2d3cab0	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured	uncultured bacterium
0f991e999d02616a9b9e13a47e659965	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	Ambiguous_taxa
b5874afc7fd0881637686ea0475e26ea	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
b885ae02d6cb4c92fa5297583c208fba	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	
41da5eee07745c56aed6bb393058e0e0	Bacteria	Marinimicrobia (SAR406 clade)					
762ce9d88bc3db5cdb162529bc576bda	Bacteria	Marinimicrobia (SAR406 clade)					
55704fc2681ba7573445f5266fb590ae	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured	uncultured bacterium
39759f5cbb2e2320ddc8661dd3815de2	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
3a96fe6f2ba144f08b5a04daf3acd453	Bacteria	Marinimicrobia (SAR406 clade)					
b0488d797d07614c5c48e0acc0645d37	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04 marine group	uncultured bacterium
a78fd777e86bc61712c26142300f6bc7	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	marine metagenome
40618bbcd52e8728c87272ecaca81ac4	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade			
e49d4059490139a09d7bec46058920ce	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS7 marine group		
d5c7b79724cbd8bebbf5579a1f05de0a	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	uncultured	Ambiguous_taxa
faf0ca9aafbd13fc3187314b61693000	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
056831e27b9ae25165116c9e60a587a6	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade			
bc6c7dcba4e9e4cb57f8021c6d5fe179	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
8dae93bffba9b3f5a26f6743b02d343c	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
b797bc07c94ce799bf8923158fee29d8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	uncultured bacterium	uncultured bacterium
e2d7bfc2f1c1aed521c6a352fd0ee908	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
f2030ca0a36702baf8ba341d92496c36	Bacteria	Marinimicrobia (SAR406 clade)					
b4584f9f67814df6523ad50fbbf911da	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	uncultured marine eukaryote	uncultured marine eukaryote	uncultured marine eukaryote
1a2c56bb0f3a6c053640ffcbcd8c39f8	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
b2068e697ee4fafd2e93c978ec761c54	Bacteria	Marinimicrobia (SAR406 clade)	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
a1aa136d4cea73043bfcbb7475a5f222	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	Ambiguous_taxa
5a071390bb97ff8789ac04139f89a853	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
1c5edc82cb5844583201bf56a7135cae	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	uncultured deep-sea bacterium	uncultured deep-sea bacterium	uncultured deep-sea bacterium
9d0a15e368fc288bad871d02469017db	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae		
7dbbb70545335e6226c83416f8f46328	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Ambiguous_taxa
3532c495e51dacad5bee41df26bb1214	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	uncultured bacterium	uncultured bacterium
e09518a73a9bc46617e245658860e0a5	Bacteria	Marinimicrobia (SAR406 clade)					
8f0790fa4eb2337840505330e34baf64	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula	
0f76c48646c8f0d34f3c821a1939668b	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	MWH-UniP1 aquatic group	
d085f6f11e74d69b057161a974c4a36f	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade			
24fdc1e6d60c92c2a472d4d8a5fe7ebe	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353 marine group			
2d813859724a8c1f42e942f74fa75dac	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	uncultured bacterium	uncultured bacterium
5631fdac0402fbeaac6ea3beb0394261	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
969d10a24898b126695f1c11191b2839	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	uncultured	
a513625a0a1a986609f0e25e503b71bb	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Ambiguous_taxa
4733ef3be122be1a2012cde3b793f774	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured organism
500aacd76cf17058e7a5f25961db6c2f	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	
654118e698dfac3d81850fbc7f178dc2	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	uncultured bacterium	uncultured bacterium	uncultured bacterium
833aaca7e357b78fd2ee5d6abbd52b56	Bacteria	Proteobacteria	Alphaproteobacteria				
2b57a65e4883593f7998a8f2e64bdf1e	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade			
f192fb403073f98260e0ac334ffe81c1	Bacteria						
9dbf443dea611f2155f00fa466fa9f62	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	Ambiguous_taxa
83e700ada62116f163952cdd59954f38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	uncultured bacterium
9a4875b5f6089b67f7709363d48fc809	Bacteria	Proteobacteria	Alphaproteobacteria				
80d7e487f03d1827113aa152c44b059e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	
c42f6c33848a60c4461f5a19dbb44e8a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	uncultured	uncultured alpha proteobacterium
df1900b3c4b6998b769131a90b1e5088	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	uncultured bacterium	uncultured bacterium
05e6a639c5c4888866a5add65257bb17	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
eecf9c00fd8e16129fbbe2712e0a7931	Bacteria	AncK6	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
52474daa1a13bbab641c797ed188cc35	Bacteria	PAUC34f	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
44d685aa61899f2e72c40ed19b3eadd9	Bacteria	Margulisbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
dc7192b6bd0af803adf5b36b91bf5470	Bacteria	Spirochaetes	Leptospirae	Leptospirales	Leptospiraceae	RBG-16-49-21	
245b428620359b112deb3e32e0f145f5	Bacteria	Spirochaetes	Leptospirae	Leptospirales	Leptospiraceae	RBG-16-49-21	uncultured organism
74a6cc1fd7b176943af9f68f22be3df8	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	uncultured bacterium
3d862f3c6276fdf970ecfbe2848e4fed	Bacteria	PAUC34f	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
695f2f521a92c4b84adf0937a891723b	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured			
3738e5ba1bb8b2af87af3f67b5d15b24	Bacteria	Marinimicrobia (SAR406 clade)					
0595be36ada7a33eaa0398de5dfa3348	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade			
13d8cbda260aa43329d9752d276365a1	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
a7dc5d82ea54149c0383df9e6959efdb	Bacteria	Marinimicrobia (SAR406 clade)					
f66ffa2d6394b957c0913b247b5ca23d	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade			
7ba64d805a90ac0a8b12cbf90f8b5699	Bacteria	Verrucomicrobia	Verrucomicrobiae	Arctic97B-4 marine group	uncultured bacterium	uncultured bacterium	uncultured bacterium
13cbdf7bd85a4926e6b6d9e70a184c66	Bacteria	Marinimicrobia (SAR406 clade)					
b4ad02c27a3bc3c71fd8ca6a613875f4	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	Ambiguous_taxa
4cff4421fbb1676cf69509c61b89e97d	Bacteria	Marinimicrobia (SAR406 clade)					
b139464f01f3d9f92d8e54cd245a8513	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	uncultured	uncultured bacterium
65c7ccd8b2e1614e089608b2b6f0c450	Bacteria	Proteobacteria	Gammaproteobacteria				
12723caeb95deaa783e3267dfb44a5c2	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05 cluster	uncultured bacterium
2c3d74cd17046928ab522e19718e3f89	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593		
35af82cdce544005a8a4d010b5840992	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae		
eaba1802ec0acbb29c793e9cbc6fadbb	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	
8ad35c58b07599faf8e3b1ab7ab097fa	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
cfffb9a05bf2adb2c8dd1822675abfab	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium
90a492ade0420cd236275bde9437b570	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured bacterium
6f0259796a6090ddbbd0cc5a408b4285	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593		
da2e485a4c03f732eff4fbde03abe338	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
fc98d104889e9b0729651e2ce2dc8f1f	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
61bfcfd13ba60d9b810900f172925d7d	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	uncultured bacterium
412ad5e59f079fe4f905560170aab751	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	
83fb3499ba5b0d7f962e619ea579f670	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade			
0e77be3e62218c20dde465f84617cca7	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Ambiguous_taxa
2c1d95c93169b16f6fed8779396453fb	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	uncultured Saprospiraceae bacterium
2059841cc84faa75d4a31b4457f534fa	Bacteria	Marinimicrobia (SAR406 clade)					
ed75109e22b94928ed19ce12079f05cb	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	uncultured bacterium	uncultured bacterium	uncultured bacterium
a7bb7b454f98b49fd2c015a454d5f189	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	
509da5894a3f2987794f617c74012924	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116 clade		
3c5fd55f1cf6a7396bd1ccd1420f7900	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
9c9facfdb765e7663878a41478fa9951	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	uncultured bacterium	uncultured bacterium	uncultured bacterium
fb1e175feb246630f39854da80a3e095	Archaea	Euryarchaeota	Thermoplasmata	Marine Group II	uncultured marine archaeon	uncultured marine archaeon	uncultured marine archaeon
39bbc9824a8bbdd31639de64c5d4cd6c	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	uncultured	metagenome
83e62d589a3a59b6b9cc49e19838b1b2	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	marine metagenome	marine metagenome
7cfbed763d0b6d67ea4f8ae0ead9ebf2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	uncultured bacterium
a16b9eec397d4e611295a95c4da33cf8	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
0e599efb425dc31d4b0b34f8d8df9bb1	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade			
11632d192a8bba3c7af6a30675146ee0	Bacteria	Marinimicrobia (SAR406 clade)					
b9f64e315784d06e00e692b2336189ce	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353 marine group			
3f6557b60345b81e1fd00c96c31ab282	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
e257278fd465584728e6d0ef20ddefba	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	uncultured bacterium	uncultured bacterium	uncultured bacterium
c97c29ebdc2465fcd53cf6b2977245b3	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade			
2f130cfb1a946b8b623da0e4877bc3cd	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured	
138b5623246e23cbd10642758f3590e9	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
0cc0abb98e304ec91745a8b7350eb81f	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
5bb3e9910a124e835db063eed9a67d86	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	marine metagenome	marine metagenome
8a8d2412991de07cdf910380419cc3f5	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	
a34f68d3df75c1e1045d115c8d1cc9c1	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
8369fde5449db60fb9216312176a0366	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
6b55d3db88c2a3063b737e80eb2c9a84	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade IV		
d62ea7794aa899724d4b5ffead95c01b	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade			
5b39eaad23627a9ca8675adfb616b642	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23			
f4f81262de11ea4430084728e6702f9b	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
f0b5208ba25e17389336ebe2e9c65fd3	Bacteria	Acidobacteria	Subgroup 21				
0d37cff1e49d581e4163376c48b3bcff	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
a3759f7a256f7427f258a93a462c2149	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Janthinobacterium	uncultured bacterium
33db887138c7818da69e52d56a5e17f0	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
040106481045ab3ef0359580fb665789	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Ambiguous_taxa
61c833687fb11247c14a234b7c89bb5d	Bacteria	Marinimicrobia (SAR406 clade)	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
f60e5d6001f20c65adfa5876d8e93155	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	
087b882edcdb9f06063c5170cd8670d6	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
86828cfe131aee47bc73763611091d77	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	Ambiguous_taxa
e3cb91c273d3274edd5feeea79c21cc9	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
c3cefb27881520839f58765379650e06	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured			
f5cc72b37cd53e693ef08810bed05d75	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	uncultured	uncultured bacterium
662429fd6521a8b8c3c88a07f3217951	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	uncultured bacterium
4f22caf507fe949c0d7c06376c89ade4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	uncultured bacterium	uncultured bacterium
2edac5462f609fe111913990750cdc36	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade			
18b9777359fabc548c32828f9dd74a26	Bacteria	Proteobacteria	Gammaproteobacteria	OM182 clade			
d3c1ceb53732c2c38be15a8694938483	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	uncultured bacterium
dc9e737c5584228963c9d3743bed0a16	Bacteria	Marinimicrobia (SAR406 clade)					
4e94a344db519998927d1cb05bfafb3b	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	
9ab57ac2a24e5648db1193a1e4ea2b07	Bacteria	Proteobacteria					
34e05583d36eed5505aafc2656fdd8fe	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade			
7fad30e7916c9b608585515deb600fce	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	
48571179494cb3115bb79f068dc81447	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	uncultured bacterium	uncultured bacterium
8d963fd42b3c6917e2bd49e1a776a172	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	uncultured delta proteobacterium
32ee6a428091efb54b3ae7df29522975	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade			
760fb2a37f840fc98738f34bd1efc921	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	marine metagenome	marine metagenome
45fcfbf9a194d7a82597e788b7f4f9e6	Bacteria	PAUC34f					
b62967e20f66cd64cecbc8656f844381	Bacteria	PAUC34f					
9309f00cced199d44ed74e45747f6630	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	uncultured bacterium	uncultured bacterium
b9d627d03f6f43e6b2cec5e4e706ff83	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade			
f730ff606259e401cec5d23550a5c74e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	uncultured marine bacterium
6aaed6e96f5328d9f6e9d4b08e242423	Bacteria	Marinimicrobia (SAR406 clade)					
